Movie,Month,Day,Release Year,Budget($M),Domestic Gross($M),Worldwide Gross($M)
Avatar,Dec,18,2009,425,760.507625,2783.918982
Star Wars Ep. VII: The Force Awakens,Dec,18,2015,306,936.662225,2058.662225
Pirates of the Caribbean: At World's End,May,24,2007,300,309.420425,963.420425
Spectre,Nov,6,2015,300,200.074175,879.620923
The Dark Knight Rises,Jul,20,2012,275,448.139099,1084.439099
The Lone Ranger,Jul,2,2013,275,89.302115,260.002115
John Carter,Mar,9,2012,275,73.058679,282.7781
Tangled,Nov,24,2010,260,200.821936,586.581936
Spider-Man 3,May,4,2007,258,336.530303,890.875303
Avengers: Age of Ultron,May,1,2015,250,459.005868,1404.705868
Captain America: Civil War,May,6,2016,250,408.084349,1151.684349
Batman v Superman: Dawn of Justice,Mar,25,2016,250,330.360194,868.160194
The Hobbit: An Unexpected Journey,Dec,14,2012,250,303.003568,1017.003568
Harry Potter and the Half-Blood Prince,Jul,15,2009,250,301.959197,935.083686
The Hobbit: The Desolation of Smaug,Dec,13,2013,250,258.366855,960.366855
The Hobbit: The Battle of the Five Armies,Dec,17,2014,250,255.119788,955.119788
Pirates of the Caribbean: On Stranger Tides,May,20,2011,250,241.063875,1045.663875
Superman Returns,Jun,28,2006,232,200.12,374.085065
Quantum of Solace,Nov,14,2008,230,169.368427,591.692078
The Avengers,May,4,2012,225,623.279547,1519.479547
Pirates of the Caribbean: Dead Man's Chest,Jul,7,2006,225,423.315812,1066.215812
Man of Steel,Jun,14,2013,225,291.045518,667.999518
The Chronicles of Narnia: Prince Caspian,May,16,2008,225,141.62149,417.341288
The Amazing Spider-Man,Jul,3,2012,220,262.030663,757.890267
Jurassic World,Jun,12,2015,215,652.19801,1670.328025
Men in Black 3,May,25,2012,215,179.020854,654.213485
Transformers: Revenge of the Fallen,Jun,24,2009,210,402.11187,836.519699
Transformers: Age of Extinction,Jun,27,2014,210,245.439076,1104.039076
X-Men: The Last Stand,May,26,2006,210,234.362462,459.359555
Robin Hood,May,14,2010,210,105.26973,322.241588
Battleship,May,18,2012,209,65.2334,305.218228
King Kong,Dec,14,2005,207,218.080025,550.517357
The Golden Compass,Dec,1,2007,205,70.107728,367.262558
Titanic,Dec,19,1997,200,658.672302,2207.615668
Finding Dory,Jun,17,2016,200,484.434568,985.234568
Toy Story 3,Jun,18,2010,200,415.00488,1069.818229
Iron Man 3,May,3,2013,200,408.992272,1215.392272
Spider-Man 2,Jun,30,2004,200,373.524485,783.705001
Alice in Wonderland,Mar,5,2010,200,334.19111,1025.49111
Skyfall,Nov,8,2012,200,304.360277,1110.526981
Monsters University,Jun,21,2013,200,268.488329,743.588329
Oz the Great and Powerful,Mar,8,2013,200,234.770996,490.359051
X-Men: Days of Future Past,May,23,2014,200,233.921534,747.862775
The Amazing Spider-Man 2,May,2,2014,200,202.853933,708.996336
Cars 2,Jun,24,2011,200,191.450875,560.155383
Tron: Legacy,Dec,17,2010,200,172.062763,397.562763
2012,Nov,13,2009,200,166.112167,788.408539
Terminator Salvation,May,21,2009,200,125.322469,365.491792
Green Lantern,Jun,17,2011,200,116.601172,231.201172
Prince of Persia: Sands of Time,May,28,2010,200,90.759676,314.594597
Transformers: Dark of the Moon,Jun,29,2011,195,352.390543,1123.790543
Jack the Giant Slayer,Mar,1,2013,195,65.187603,197.687603
Furious 7,Apr,3,2015,190,351.03291,1514.019071
Star Trek Into Darkness,May,15,2013,190,228.778661,467.381584
World War Z,Jun,21,2013,190,202.359711,531.51465
The Great Gatsby,May,10,2013,190,144.840419,351.040419
Disney's A Christmas Carol,Nov,6,2009,190,137.855863,315.709697
Pacific Rim,Jul,12,2013,190,101.802906,411.002906
The Good Dinosaur,Nov,25,2015,187.5,123.08712,334.354269
Iron Man,May,2,2008,186,318.604126,582.443126
The Dark Knight,Jul,18,2008,185,533.345358,1002.891358
Indiana Jones and the Kingdom of the Crystal Skull,May,22,2008,185,317.023851,786.558145
Brave,Jun,22,2012,185,237.282182,554.606532
Star Trek Beyond,Jul,22,2016,185,158.526005,336.326005
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Dec,9,2005,180,291.710957,720.539572
Maleficent,May,30,2014,180,241.407328,758.536735
WALL-E,Jun,27,2008,180,223.808164,532.590994
Rush Hour 3,Aug,10,2007,180,140.125968,256.585882
The Legend of Tarzan,Jul,1,2016,180,126.643061,349.143061
Hugo,Nov,23,2011,180,73.864507,180.047784
Jupiter Ascending,Feb,6,2015,179,47.482519,181.982519
X-Men: Apocalypse,May,27,2016,178,155.442489,542.742489
Edge of Tomorrow,Jun,6,2014,178,100.206256,364.406256
The Jungle Book,Apr,15,2016,175,364.001123,963.901123
Inside Out,Jun,19,2015,175,356.461711,853.923085
